mstime	trial_type	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	answer	test_x	test_y	test_z	color_r	color_g	color_b	case	font
1068720	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	4	1	FUGITIVE	612	n/a	n/a	1	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
1074837	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	4	n/a	CONDUCTOR	362	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
1095395	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	4	1	PUDDLE	1140	n/a	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
1106524	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	ANTEATER	26	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1110689	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	BROOK	177	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1114820	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	REEF	1177	n/a	n/a	1	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1118785	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	QUILL	1150	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1122883	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	SKETCH	1315	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1126965	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	HOSE	720	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1130889	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	SEAL	1262	n/a	n/a	1	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1134871	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	CHECKERS	285	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1138869	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	JUG	762	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1142835	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	WATER	1594	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1146875	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	LAWN	805	n/a	n/a	1	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1150907	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	CHISEL	305	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1154955	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	BEE	112	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1158887	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	BLACKBOARD	133	n/a	n/a	1	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1163044	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	SUPERVISOR	1410	n/a	n/a	1	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1166976	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	8	5	0	HONEY	713	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
1169984	START	n/a	LTP145	ltpFR	8	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1170800	PROB	n/a	LTP145	ltpFR	8	n/a	n/a	n/a	n/a	n/a	n/a	n/a	19	8	6	5	n/a	n/a	n/a	n/a	n/a
1173550	PROB	n/a	LTP145	ltpFR	8	n/a	n/a	n/a	n/a	n/a	n/a	n/a	12	5	1	6	n/a	n/a	n/a	n/a	n/a
